"TF"	"target"	"tissue"	"TF_EntrezID"	"TF_Ensembl_ID"	"target_EntrezID"	"Paper"
"H19"	"Igf2"	"NA"	14955	"NA"	16002	"Ripoche, M. A., et al. (1997). \"Deletion of the H19 transcription unit reveals the existence of a putative imprinting control element.\" Genes Dev 11(12): 1596-1604."
"H19"	"Igf2"	"NA"	14955	"NA"	16002	"Forne, T., et al. (1997). \"Loss of the maternal H19 gene induces changes in Igf2 methylation in both cis and trans.\" Proc Natl Acad Sci U S A 94(19): 10243-10248."
"Zfhx2os"	"Zfhx2"	"Brain"	432855	"ENSMUSG00000093452"	239102	"Komine, Y., et al. (2006). \"Novel transcription factor zfh-5 is negatively regulated by its own antisense RNA in mouse brain.\" Mol Cell Neurosci 31(2): 273-283."
"HULC"	"ANKRD11"	"Liver"	728655	"ENSG00000251164"	29123	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"CDCA4"	"Liver"	728655	"ENSG00000251164"	55038	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"CDK8"	"Liver"	728655	"ENSG00000251164"	1024	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"CEP83"	"Liver"	728655	"ENSG00000251164"	51134	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"CWF19L1"	"Liver"	728655	"ENSG00000251164"	55280	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"GGT1"	"Liver"	728655	"ENSG00000251164"	2678	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"IWS1"	"Liver"	728655	"ENSG00000251164"	55677	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"LTBR"	"Liver"	728655	"ENSG00000251164"	4055	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"MKNK2"	"Liver"	728655	"ENSG00000251164"	2872	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
