UNIPROT,pvalue,qvalue,effectSize,directedEffect
O00151,0.010371851,0.036276173,0.679513,0.679513
O00231,0.67530435,0.7650718,0.05077362,-0.05077362
O00264,0.19652176,0.30433267,0.39843464,-0.39843464
O00299,0.020346882,0.056765415,1.0838957,1.0838957
O00469,0.013865431,0.044580773,1.336544,1.336544
O00515,0.001488189,0.011114909,1.0438051,1.0438051
O00748,0.17189832,0.27571836,0.4526968,-0.4526968
O14745,0.08351725,0.16111593,0.12009716,-0.12009716
O14773,0.15965228,0.26157108,0.41559124,0.41559124
O14818,0.324371,0.4330987,2.8340025,-2.8340025
O14979,0.00057415,0.006432273,2.8186607,-2.8186607
O15143,0.91150403,0.94258136,0.11250687,0.11250687
O15145,0.24561523,0.35505253,0.33170605,0.33170605
O43175,0.93876207,0.96002835,0.06214714,0.06214714
O43242,0.86129725,0.9078494,0.088261604,0.088261604
O43390,0.13589884,0.23334809,0.340559,-0.340559
O43488,0.15978827,0.26157108,1.8274298,-1.8274298
O43681,0.99679714,0.9972134,0.002799988,-0.002799988
O43707,0.7983247,0.85858047,0.0740633,-0.0740633
O43765,0.003561457,0.018741455,3.6137877,-3.6137877
O43776,0.0042138,0.02106649,1.0381813,-1.0381813
O60218,0.18729325,0.29256907,0.39971733,-0.39971733
O60437,0.76508063,0.8362236,0.54416084,0.54416084
O60506,0.020067876,0.056648277,2.332984,2.332984
O60664,0.000592611,0.006536951,2.0393476,2.0393476
O60701,0.06725347,0.13816826,0.31632423,0.31632423
O60749,0.096090466,0.17988741,1.2956533,-1.2956533
O60763,0.96363235,0.97915465,0.01427269,0.01427269
O75083,0.003650557,0.018830568,0.81906796,0.81906796
O75347,0.073448256,0.14710161,0.45261002,-0.45261002
O75367,0.27616382,0.3844844,1.150835,1.150835
O75369,0.33006394,0.43988064,0.20341778,-0.20341778
O75390,0.07833246,0.15498808,0.6818924,0.6818924
O75396,0.9806731,0.98479366,0.006004334,0.006004334
O75439,0.006173101,0.026118085,0.9182682,0.9182682
O75521,0.022471232,0.06149568,1.295476,1.295476
O75534,0.048680943,0.10739761,1.1587934,-1.1587934
O75874,0.004535352,0.021678977,0.99922657,0.99922657
O75891,0.065665714,0.13631591,0.28411293,0.28411293
O75947,0.8385843,0.8894451,0.060652733,0.060652733
O76031,0.6335639,0.7350568,0.7412329,-0.7412329
O94760,0.002588844,0.01579287,0.768569,0.768569
O94826,0.9972133,0.9972134,0.00217247,0.00217247
O94979,0.7730051,0.8423169,0.051150322,-0.051150322
O95154,0.000445303,0.005504862,2.7984018,2.7984018
O95202,0.013492129,0.043773092,0.7787304,0.7787304
O95336,0.8635333,0.9078494,0.022239685,0.022239685
O95340,0.15914811,0.26157108,0.30208397,-0.30208397
O95479,0.13533406,0.23325597,1.9191532,-1.9191532
O95831,0.17227587,0.27571836,0.47673416,0.47673416
O95954,0.3501417,0.46491015,0.15377712,0.15377712
P0C0L4,0.00017798,0.003372196,1.8331032,-1.8331032
P0DJI9,0.006094154,0.026008978,2.1235409,-2.1235409
P00167,0.015500582,0.04749535,1.1347408,1.1347408
P00325,0.13814618,0.23527494,0.5521641,0.5521641
P00326,0.001319262,0.010510121,2.2239132,2.2239132
