source	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
BRD2	RPL32	NA	NA	NA	NA
BRD2	RPL15	NA	NA	NA	NA
BRD2	ACAA1	NA	NA	NA	NA
BRD2	RPSA	NA	NA	NA	NA
BRD2	RPL14	NA	NA	NA	NA
BRD2	MAP4	NA	NA	NA	NA
BRD2	UQCRC1	NA	NA	NA	NA
BRD2	IMPDH2	NA	NA	NA	NA
BRD2	GPX1	NA	NA	NA	NA
BRD2	ACY1	NA	NA	NA	NA
BRD2	RPL29	NA	NA	NA	NA
BRD2	TKT	NA	NA	NA	NA
BRD2	FLNB	NA	NA	NA	NA
BRD2	GBE1	NA	NA	NA	NA
BRD2	RPL24	NA	NA	NA	NA
BRD2	ATP6V1A	NA	NA	NA	NA
BRD2	PDIA5	NA	NA	NA	NA
BRD2	ALDH1L1	NA	NA	NA	NA
BRD2	SEC61A1	NA	NA	NA	NA
BRD2	RPN1	NA	NA	NA	NA
BRD2	COPG1	NA	NA	NA	NA
BRD2	PCCB	NA	NA	NA	NA
BRD2	COPB2	NA	NA	NA	NA
BRD2	PLOD2	NA	NA	NA	NA
BRD2	PSMD2	NA	NA	NA	NA
BRD2	EIF4G1	NA	NA	NA	NA
BRD2	EIF4A2	NA	NA	NA	NA
BRD2	TFRC	NA	NA	NA	NA
BRD2	BDH1	NA	NA	NA	NA
BRD2	LETM1	NA	NA	NA	NA
BRD2	WDR1	NA	NA	NA	NA
BRD2	TMEM33	NA	NA	NA	NA
BRD2	OCIAD2	NA	NA	NA	NA
BRD2	PAICS	NA	NA	NA	NA
BRD2	SEC31A	NA	NA	NA	NA
BRD2	ADH5	NA	NA	NA	NA
BRD2	RPL34	NA	NA	NA	NA
BRD2	ANXA5	NA	NA	NA	NA
BRD2	ETFDH	NA	NA	NA	NA
BRD2	ACSL1	NA	NA	NA	NA
BRD2	HNRNPA2B1	NA	NA	NA	NA
BRD2	HIBADH	NA	NA	NA	NA
BRD2	PSMA2	NA	NA	NA	NA
BRD2	OGDH	NA	NA	NA	NA
BRD2	PPIA	NA	NA	NA	NA
BRD2	ASL	NA	NA	NA	NA
BRD2	POR	NA	NA	NA	NA
BRD2	MDH2	NA	NA	NA	NA
BRD2	HSPB1	NA	NA	NA	NA
BRD2	YWHAG	NA	NA	NA	NA
BRD2	ARPC1B	NA	NA	NA	NA
BRD2	NAMPT	NA	NA	NA	NA
BRD2	SND1	NA	NA	NA	NA
BRD2	AKR1B1	NA	NA	NA	NA
BRD2	SSBP1	NA	NA	NA	NA
BRD2	GSTK1	NA	NA	NA	NA
BRD2	PDIA4	NA	NA	NA	NA
BRD2	HSPH1	NA	NA	NA	NA
BRD2	TPT1	NA	NA	NA	NA
BRD2	ESD	NA	NA	NA	NA
BRD2	FKBP1A	NA	NA	NA	NA
BRD2	NSFL1C	NA	NA	NA	NA
BRD2	DSTN	NA	NA	NA	NA
BRD2	RRBP1	NA	NA	NA	NA
BRD2	CHMP4B	NA	NA	NA	NA
BRD2	AHCY	NA	NA	NA	NA
BRD2	GSS	NA	NA	NA	NA
BRD2	EIF6	NA	NA	NA	NA
BRD2	RPN2	NA	NA	NA	NA
BRD2	YWHAB	NA	NA	NA	NA
BRD2	CTSZ	NA	NA	NA	NA
BRD2	PSMA7	NA	NA	NA	NA
BRD2	UBA1	NA	NA	NA	NA
BRD2	HSD17B10	NA	NA	NA	NA
BRD2	MSN	NA	NA	NA	NA
BRD2	NONO	NA	NA	NA	NA
BRD2	AIFM1	NA	NA	NA	NA
BRD2	SSR4	NA	NA	NA	NA
BRD2	FLNA	NA	NA	NA	NA
BRD2	RPL10	NA	NA	NA	NA
BRD2	G6PD	NA	NA	NA	NA
BRD2	GNB1	NA	NA	NA	NA
BRD2	LRRC47	NA	NA	NA	NA
BRD2	RPL22	NA	NA	NA	NA
BRD2	PARK7	NA	NA	NA	NA
BRD2	ENO1	NA	NA	NA	NA
BRD2	H6PD	NA	NA	NA	NA
BRD2	SRM	NA	NA	NA	NA
BRD2	ALDH4A1	NA	NA	NA	NA
BRD2	AKR7A2	NA	NA	NA	NA
BRD2	CAPZB	NA	NA	NA	NA
BRD2	DDOST	NA	NA	NA	NA
BRD2	HNRNPR	NA	NA	NA	NA
BRD2	HMGCL	NA	NA	NA	NA
BRD2	SFN	NA	NA	NA	NA
BRD2	NUDC	NA	NA	NA	NA
BRD2	EIF3I	NA	NA	NA	NA
BRD2	AK2	NA	NA	NA	NA
BRD2	CAP1	NA	NA	NA	NA
BRD2	RPS8	NA	NA	NA	NA
BRD2	PRDX1	NA	NA	NA	NA
BRD2	AKR1A1	NA	NA	NA	NA
BRD2	CMPK1	NA	NA	NA	NA
BRD2	ECHDC2	NA	NA	NA	NA
BRD2	SCP2	NA	NA	NA	NA
BRD2	CPT2	NA	NA	NA	NA
BRD2	PGM1	NA	NA	NA	NA
BRD2	SERBP1	NA	NA	NA	NA
BRD2	CRYZ	NA	NA	NA	NA
BRD2	AGL	NA	NA	NA	NA
BRD2	PSMA5	NA	NA	NA	NA
BRD2	CSDE1	NA	NA	NA	NA
BRD2	ATP1A1	NA	NA	NA	NA
BRD2	PHGDH	NA	NA	NA	NA
BRD2	FMO5	NA	NA	NA	NA
BRD2	SELENBP1	NA	NA	NA	NA
BRD2	PSMB4	NA	NA	NA	NA
BRD2	S100A10	NA	NA	NA	NA
BRD2	S100A11	NA	NA	NA	NA
BRD2	RPS27	NA	NA	NA	NA
BRD2	TPM3	NA	NA	NA	NA
BRD2	PKLR	NA	NA	NA	NA
BRD2	LMNA	NA	NA	NA	NA
BRD2	CCT3	NA	NA	NA	NA
BRD2	HDGF	NA	NA	NA	NA
BRD2	TAGLN2	NA	NA	NA	NA
BRD2	APOA2	NA	NA	NA	NA
BRD2	PRDX6	NA	NA	NA	NA
BRD2	EPHX1	NA	NA	NA	NA
BRD2	PARP1	NA	NA	NA	NA
BRD2	ACTN2	NA	NA	NA	NA
BRD2	HNRNPU	NA	NA	NA	NA
BRD2	SCCPDH	NA	NA	NA	NA
BRD2	PNP	NA	NA	NA	NA
BRD2	PSMB5	NA	NA	NA	NA
BRD2	DHRS4	NA	NA	NA	NA
BRD2	PCK2	NA	NA	NA	NA
BRD2	PSME2	NA	NA	NA	NA
BRD2	CFL2	NA	NA	NA	NA
BRD2	PSMA6	NA	NA	NA	NA
BRD2	SEC23A	NA	NA	NA	NA
BRD2	PSMC6	NA	NA	NA	NA
BRD2	PSMA3	NA	NA	NA	NA
BRD2	MTHFD1	NA	NA	NA	NA
BRD2	EIF2S1	NA	NA	NA	NA
BRD2	ACTN1	NA	NA	NA	NA
BRD2	ALDH6A1	NA	NA	NA	NA
BRD2	DLST	NA	NA	NA	NA
BRD2	TMED10	NA	NA	NA	NA
BRD2	DYNC1H1	NA	NA	NA	NA
BRD2	HSP90AA1	NA	NA	NA	NA
BRD2	INF2	NA	NA	NA	NA
BRD2	PITRM1	NA	NA	NA	NA
BRD2	GDI2	NA	NA	NA	NA
BRD2	ECHDC3	NA	NA	NA	NA
BRD2	NUDT5	NA	NA	NA	NA
BRD2	VIM	NA	NA	NA	NA
BRD2	ITGB1	NA	NA	NA	NA
BRD2	HNRNPF	NA	NA	NA	NA
BRD2	PBLD	NA	NA	NA	NA
BRD2	HNRNPH3	NA	NA	NA	NA
BRD2	PPA1	NA	NA	NA	NA
BRD2	PSAP	NA	NA	NA	NA
BRD2	VCL	NA	NA	NA	NA
BRD2	VDAC2	NA	NA	NA	NA
BRD2	PPIF	NA	NA	NA	NA
BRD2	ANXA11	NA	NA	NA	NA
BRD2	PAPSS2	NA	NA	NA	NA
BRD2	PDLIM1	NA	NA	NA	NA
BRD2	ACTR1A	NA	NA	NA	NA
BRD2	GSTO1	NA	NA	NA	NA
BRD2	EIF3A	NA	NA	NA	NA
BRD2	PRDX3	NA	NA	NA	NA
BRD2	ACADSB	NA	NA	NA	NA
BRD2	ECHS1	NA	NA	NA	NA
BRD2	RPL17	NA	NA	NA	NA
BRD2	ACAA2	NA	NA	NA	NA
BRD2	CNDP2	NA	NA	NA	NA
BRD2	SDHA	NA	NA	NA	NA
BRD2	CCT5	NA	NA	NA	NA
BRD2	CMBL	NA	NA	NA	NA
BRD2	NADK2	NA	NA	NA	NA
BRD2	HMGCS1	NA	NA	NA	NA
BRD2	NNT	NA	NA	NA	NA
BRD2	BHMT	NA	NA	NA	NA
BRD2	RPS23	NA	NA	NA	NA
BRD2	GLRX	NA	NA	NA	NA
BRD2	CAST	NA	NA	NA	NA
BRD2	HSD17B4	NA	NA	NA	NA
BRD2	ALDH7A1	NA	NA	NA	NA
BRD2	LMNB1	NA	NA	NA	NA
BRD2	HINT1	NA	NA	NA	NA
BRD2	HSPA4	NA	NA	NA	NA
BRD2	VDAC1	NA	NA	NA	NA
BRD2	HSPA9	NA	NA	NA	NA
BRD2	CTNNA1	NA	NA	NA	NA
BRD2	MATR3	NA	NA	NA	NA
BRD2	RPS14	NA	NA	NA	NA
BRD2	ANXA6	NA	NA	NA	NA
BRD2	ERGIC1	NA	NA	NA	NA
BRD2	CLTB	NA	NA	NA	NA
BRD2	LMAN2	NA	NA	NA	NA
BRD2	CANX	NA	NA	NA	NA
BRD2	SQSTM1	NA	NA	NA	NA
BRD2	DECR2	NA	NA	NA	NA
BRD2	HAGH	NA	NA	NA	NA
BRD2	RPS2	NA	NA	NA	NA
BRD2	TRAP1	NA	NA	NA	NA
BRD2	PPL	NA	NA	NA	NA
BRD2	ABAT	NA	NA	NA	NA
BRD2	UQCRC2	NA	NA	NA	NA
BRD2	TUFM	NA	NA	NA	NA
BRD2	QPRT	NA	NA	NA	NA
BRD2	MVP	NA	NA	NA	NA
BRD2	ALDOA	NA	NA	NA	NA
BRD2	GOT2	NA	NA	NA	NA
BRD2	CES2	NA	NA	NA	NA
BRD2	COX4I1	NA	NA	NA	NA
BRD2	RPL13	NA	NA	NA	NA
BRD2	GAMT	NA	NA	NA	NA
BRD2	RPS15	NA	NA	NA	NA
BRD2	SGTA	NA	NA	NA	NA
BRD2	EEF2	NA	NA	NA	NA
BRD2	PLIN3	NA	NA	NA	NA
BRD2	LONP1	NA	NA	NA	NA
BRD2	KHSRP	NA	NA	NA	NA
BRD2	TUBB4A	NA	NA	NA	NA
BRD2	C3	NA	NA	NA	NA
BRD2	RPS28	NA	NA	NA	NA
BRD2	HNRNPM	NA	NA	NA	NA
BRD2	CDC37	NA	NA	NA	NA
BRD2	PRDX2	NA	NA	NA	NA
BRD2	CALR	NA	NA	NA	NA
BRD2	DNAJB1	NA	NA	NA	NA
BRD2	TPM4	NA	NA	NA	NA
BRD2	PGLS	NA	NA	NA	NA
BRD2	PEPD	NA	NA	NA	NA
BRD2	GPI	NA	NA	NA	NA
BRD2	ACTN4	NA	NA	NA	NA
BRD2	ECH1	NA	NA	NA	NA
BRD2	HNRNPL	NA	NA	NA	NA
BRD2	RPS16	NA	NA	NA	NA
BRD2	TIMM50	NA	NA	NA	NA
BRD2	PSMC4	NA	NA	NA	NA
BRD2	BLVRB	NA	NA	NA	NA
BRD2	RPS19	NA	NA	NA	NA
BRD2	APOE	NA	NA	NA	NA
BRD2	NAPA	NA	NA	NA	NA
BRD2	RPL18	NA	NA	NA	NA
BRD2	NUCB1	NA	NA	NA	NA
BRD2	FTL	NA	NA	NA	NA
BRD2	RPL13A	NA	NA	NA	NA
BRD2	RPS11	NA	NA	NA	NA
