entity	TF	in_allSamples	Protein_Rif_The_002.txt	Protein_Rif_The_008.csv
PDLIM1	FALSE	TRUE	TRUE	TRUE
PSMD11	FALSE	TRUE	TRUE	TRUE
PGRMC1	FALSE	TRUE	TRUE	TRUE
CLIC1	FALSE	TRUE	TRUE	TRUE
PLOD2	FALSE	TRUE	TRUE	TRUE
LAD1	FALSE	TRUE	TRUE	TRUE
CES2	FALSE	TRUE	TRUE	TRUE
SLC9A3R1	FALSE	TRUE	TRUE	TRUE
TPP1	FALSE	NA	TRUE	NA
PSMA7	FALSE	TRUE	TRUE	TRUE
HNRNPDL	FALSE	TRUE	TRUE	TRUE
ARPC1B	FALSE	TRUE	TRUE	TRUE
ARPC3	FALSE	NA	TRUE	NA
PHGDH	FALSE	NA	TRUE	NA
PSMD3	FALSE	NA	TRUE	NA
HNRNPR	FALSE	TRUE	TRUE	TRUE
AKR7A2	FALSE	TRUE	TRUE	TRUE
ACTN4	FALSE	TRUE	TRUE	TRUE
SGTA	FALSE	TRUE	TRUE	TRUE
AKR1B10	FALSE	TRUE	TRUE	TRUE
PPL	FALSE	NA	TRUE	NA
SYNCRIP	FALSE	TRUE	TRUE	TRUE
PLIN3	FALSE	TRUE	TRUE	TRUE
UGDH	FALSE	TRUE	TRUE	TRUE
SNX2	FALSE	TRUE	TRUE	TRUE
USO1	FALSE	NA	TRUE	NA
WDR1	FALSE	TRUE	TRUE	TRUE
TBCA	FALSE	TRUE	TRUE	TRUE
FLNB	FALSE	TRUE	TRUE	TRUE
CS	FALSE	TRUE	TRUE	TRUE
SEC22B	FALSE	TRUE	TRUE	TRUE
PMPCB	FALSE	TRUE	TRUE	TRUE
ECI2	FALSE	TRUE	TRUE	TRUE
CSDE1	FALSE	TRUE	TRUE	TRUE
IDH1	FALSE	TRUE	TRUE	TRUE
ALDH1L1	FALSE	TRUE	TRUE	TRUE
CLPX	FALSE	TRUE	TRUE	TRUE
DDAH1	FALSE	NA	TRUE	NA
SEC31A	FALSE	TRUE	TRUE	TRUE
AKR7A3	FALSE	TRUE	TRUE	TRUE
LETM1	FALSE	NA	TRUE	NA
PGLS	FALSE	TRUE	TRUE	TRUE
PAPSS2	FALSE	TRUE	TRUE	TRUE
H6PD	FALSE	NA	TRUE	NA
AIFM1	FALSE	TRUE	TRUE	TRUE
FTCD	FALSE	TRUE	TRUE	TRUE
C4A	FALSE	NA	TRUE	NA
C4B	FALSE	NA	TRUE	NA
SAA2	FALSE	TRUE	TRUE	TRUE
CYB5A	FALSE	TRUE	TRUE	TRUE
LDHA	FALSE	TRUE	TRUE	TRUE
GLUD1	FALSE	TRUE	TRUE	TRUE
CYB5R3	FALSE	NA	TRUE	NA
GSR	FALSE	TRUE	TRUE	TRUE
PAH	FALSE	NA	TRUE	NA
OTC	FALSE	TRUE	TRUE	TRUE
PNP	FALSE	NA	TRUE	NA
GOT2	FALSE	TRUE	TRUE	TRUE
PGK1	FALSE	TRUE	TRUE	TRUE
AK1	FALSE	TRUE	TRUE	TRUE
F2	FALSE	NA	TRUE	NA
HP	FALSE	TRUE	TRUE	TRUE
CA2	FALSE	NA	TRUE	NA
ASS1	FALSE	TRUE	TRUE	TRUE
SERPINA1	FALSE	TRUE	TRUE	TRUE
A2M	FALSE	NA	TRUE	NA
C3	FALSE	TRUE	TRUE	TRUE
KRT14	FALSE	TRUE	TRUE	TRUE
KRT6A	FALSE	TRUE	TRUE	TRUE
LMNA	FALSE	TRUE	TRUE	TRUE
APOA1	FALSE	NA	TRUE	NA
APOE	FALSE	TRUE	TRUE	TRUE
APOA2	FALSE	TRUE	TRUE	TRUE
FGA	FALSE	TRUE	TRUE	TRUE
FGB	FALSE	TRUE	TRUE	TRUE
FN1	FALSE	TRUE	TRUE	TRUE
TFRC	FALSE	NA	TRUE	NA
FTL	FALSE	TRUE	TRUE	TRUE
C4BPA	FALSE	NA	TRUE	NA
VTN	FALSE	TRUE	TRUE	TRUE
CAT	FALSE	TRUE	TRUE	TRUE
ALDOA	FALSE	TRUE	TRUE	TRUE
ANXA1	FALSE	TRUE	TRUE	TRUE
APOB	FALSE	NA	TRUE	NA
SOD2	FALSE	TRUE	TRUE	TRUE
TUBB4A	FALSE	TRUE	TRUE	TRUE
GAPDH	FALSE	TRUE	TRUE	TRUE
ASL	FALSE	TRUE	TRUE	TRUE
HSPB1	FALSE	TRUE	TRUE	TRUE
RPN1	FALSE	TRUE	TRUE	TRUE
RPN2	FALSE	NA	TRUE	NA
ATP1A1	FALSE	TRUE	TRUE	TRUE
ALDOB	FALSE	TRUE	TRUE	TRUE
ARG1	FALSE	TRUE	TRUE	TRUE
ALDH2	FALSE	TRUE	TRUE	TRUE
SLC25A5	FALSE	TRUE	TRUE	TRUE
PCCA	FALSE	TRUE	TRUE	TRUE
PCCB	FALSE	TRUE	TRUE	TRUE
CYP2E1	FALSE	TRUE	TRUE	TRUE
EIF2S1	FALSE	NA	TRUE	NA
RPLP2	FALSE	TRUE	TRUE	TRUE
RPLP0	FALSE	NA	TRUE	NA
ITGB1	FALSE	TRUE	TRUE	TRUE
KRT18	FALSE	TRUE	TRUE	TRUE
KRT8	FALSE	TRUE	TRUE	TRUE
GSN	FALSE	TRUE	TRUE	TRUE
S100A6	FALSE	TRUE	TRUE	TRUE
ENO1	FALSE	TRUE	TRUE	TRUE
PYGL	FALSE	TRUE	TRUE	TRUE
