TFs	existed_TFs_Protein_Rif_The_002.txt	existed_TFs_Protein_Rif_The_008.csv	top_retrieved_TFs_Protein_Rif_The_002.txt	top_retrieved_TFs_Protein_Rif_The_008.csv
LMNB1	TRUE	NA	NA	TRUE
CTNNB1	NA	TRUE	NA	NA
DDX5	NA	TRUE	NA	NA
MAZ	NA	NA	TRUE	TRUE
BRD4	NA	NA	TRUE	TRUE
CREB1	NA	NA	TRUE	TRUE
EP300	NA	NA	TRUE	TRUE
ETS1	NA	NA	TRUE	TRUE
FLI1	NA	NA	TRUE	TRUE
GABPA	NA	NA	TRUE	TRUE
ERG	NA	NA	TRUE	TRUE
HDAC1	NA	NA	TRUE	TRUE
KLF5	NA	NA	TRUE	TRUE
HDAC2	NA	NA	TRUE	TRUE
CDK9	NA	NA	TRUE	TRUE
MAX	NA	NA	TRUE	TRUE
CEBPB	NA	NA	TRUE	TRUE
KLF4	NA	NA	TRUE	TRUE
BRD2	NA	NA	TRUE	TRUE
CTCF	NA	NA	TRUE	TRUE
E2F1	NA	NA	TRUE	TRUE
FOXA2	NA	NA	TRUE	TRUE
IRF1	NA	NA	TRUE	TRUE
SPI1	NA	NA	TRUE	NA
ZNF263	NA	NA	TRUE	TRUE
