TF	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
LMNB1	HSPH1	NA	NA	NA	NA
LMNB1	TPT1	NA	NA	NA	NA
LMNB1	LCP1	NA	NA	NA	NA
LMNB1	UCHL3	NA	NA	NA	NA
LMNB1	TUBB2A	NA	NA	NA	NA
LMNB1	ALDH5A1	NA	NA	NA	NA
LMNB1	TUBB	NA	NA	NA	NA
LMNB1	CLIC1	NA	NA	NA	NA
LMNB1	HSD17B8	NA	NA	NA	NA
LMNB1	RPS18	NA	NA	NA	NA
LMNB1	RPL10A	NA	NA	NA	NA
LMNB1	SRSF3	NA	NA	NA	NA
LMNB1	HSP90AB1	NA	NA	NA	NA
LMNB1	RPS12	NA	NA	NA	NA
LMNB1	SOD2	NA	NA	NA	NA
LMNB1	ACAT2	NA	NA	NA	NA
LMNB1	TCP1	NA	NA	NA	NA
LMNB1	GAMT	NA	NA	NA	NA
LMNB1	RPS15	NA	NA	NA	NA
LMNB1	SGTA	NA	NA	NA	NA
LMNB1	EEF2	NA	NA	NA	NA
LMNB1	PLIN3	NA	NA	NA	NA
LMNB1	LONP1	NA	NA	NA	NA
LMNB1	KHSRP	NA	NA	NA	NA
LMNB1	TUBB4A	NA	NA	NA	NA
LMNB1	C3	NA	NA	NA	NA
LMNB1	RPS28	NA	NA	NA	NA
LMNB1	HNRNPM	NA	NA	NA	NA
LMNB1	CDC37	NA	NA	NA	NA
LMNB1	PRDX2	NA	NA	NA	NA
LMNB1	CALR	NA	NA	NA	NA
LMNB1	DNAJB1	NA	NA	NA	NA
LMNB1	TPM4	NA	NA	NA	NA
LMNB1	PGLS	NA	NA	NA	NA
LMNB1	PEPD	NA	NA	NA	NA
LMNB1	GPI	NA	NA	NA	NA
LMNB1	ACTN4	NA	NA	NA	NA
LMNB1	ECH1	NA	NA	NA	NA
LMNB1	HNRNPL	NA	NA	NA	NA
LMNB1	RPS16	NA	NA	NA	NA
LMNB1	TIMM50	NA	NA	NA	NA
LMNB1	BLVRB	NA	NA	NA	NA
LMNB1	RPS19	NA	NA	NA	NA
LMNB1	APOE	NA	NA	NA	NA
LMNB1	NAPA	NA	NA	NA	NA
LMNB1	RPL18	NA	NA	NA	NA
LMNB1	NUCB1	NA	NA	NA	NA
LMNB1	FTL	NA	NA	NA	NA
LMNB1	RPL13A	NA	NA	NA	NA
LMNB1	RPS11	NA	NA	NA	NA
LMNB1	ETFB	NA	NA	NA	NA
LMNB1	PPP2R1A	NA	NA	NA	NA
LMNB1	RPS9	NA	NA	NA	NA
LMNB1	RPL28	NA	NA	NA	NA
LMNB1	SLC27A5	NA	NA	NA	NA
LMNB1	UBA1	NA	NA	NA	NA
LMNB1	MSN	NA	NA	NA	NA
LMNB1	NONO	NA	NA	NA	NA
LMNB1	PLS3	NA	NA	NA	NA
LMNB1	SLC25A5	NA	NA	NA	NA
LMNB1	AIFM1	NA	NA	NA	NA
LMNB1	FLNA	NA	NA	NA	NA
LMNB1	RPL10	NA	NA	NA	NA
LMNB1	G6PD	NA	NA	NA	NA
LMNB1	PITRM1	NA	NA	NA	NA
LMNB1	ECHDC3	NA	NA	NA	NA
LMNB1	NUDT5	NA	NA	NA	NA
LMNB1	VIM	NA	NA	NA	NA
LMNB1	ITGB1	NA	NA	NA	NA
LMNB1	HNRNPF	NA	NA	NA	NA
LMNB1	PBLD	NA	NA	NA	NA
LMNB1	HNRNPH3	NA	NA	NA	NA
LMNB1	PPA1	NA	NA	NA	NA
LMNB1	PSAP	NA	NA	NA	NA
LMNB1	VCL	NA	NA	NA	NA
LMNB1	VDAC2	NA	NA	NA	NA
LMNB1	ANXA11	NA	NA	NA	NA
LMNB1	GLUD1	NA	NA	NA	NA
LMNB1	PDLIM1	NA	NA	NA	NA
LMNB1	GOT1	NA	NA	NA	NA
LMNB1	ACTR1A	NA	NA	NA	NA
LMNB1	GSTO1	NA	NA	NA	NA
LMNB1	EIF3A	NA	NA	NA	NA
LMNB1	PRDX3	NA	NA	NA	NA
LMNB1	ACADSB	NA	NA	NA	NA
LMNB1	ECHS1	NA	NA	NA	NA
LMNB1	GNB1	NA	NA	NA	NA
LMNB1	LRRC47	NA	NA	NA	NA
LMNB1	ENO1	NA	NA	NA	NA
LMNB1	H6PD	NA	NA	NA	NA
LMNB1	SRM	NA	NA	NA	NA
LMNB1	AGMAT	NA	NA	NA	NA
LMNB1	SDHB	NA	NA	NA	NA
LMNB1	AKR7A3	NA	NA	NA	NA
LMNB1	AKR7A2	NA	NA	NA	NA
LMNB1	CAPZB	NA	NA	NA	NA
LMNB1	DDOST	NA	NA	NA	NA
LMNB1	HNRNPR	NA	NA	NA	NA
LMNB1	HMGCL	NA	NA	NA	NA
LMNB1	SFN	NA	NA	NA	NA
LMNB1	NUDC	NA	NA	NA	NA
LMNB1	EIF3I	NA	NA	NA	NA
LMNB1	AK2	NA	NA	NA	NA
LMNB1	CAP1	NA	NA	NA	NA
LMNB1	RPS8	NA	NA	NA	NA
LMNB1	PRDX1	NA	NA	NA	NA
LMNB1	AKR1A1	NA	NA	NA	NA
LMNB1	CPT2	NA	NA	NA	NA
LMNB1	PGM1	NA	NA	NA	NA
LMNB1	ACADM	NA	NA	NA	NA
LMNB1	DDAH1	NA	NA	NA	NA
LMNB1	RPL5	NA	NA	NA	NA
LMNB1	PSMA5	NA	NA	NA	NA
LMNB1	CSDE1	NA	NA	NA	NA
LMNB1	PHGDH	NA	NA	NA	NA
LMNB1	HMGCS2	NA	NA	NA	NA
LMNB1	FMO5	NA	NA	NA	NA
LMNB1	SELENBP1	NA	NA	NA	NA
LMNB1	PSMB4	NA	NA	NA	NA
LMNB1	S100A10	NA	NA	NA	NA
LMNB1	S100A11	NA	NA	NA	NA
LMNB1	S100A6	NA	NA	NA	NA
LMNB1	RPS27	NA	NA	NA	NA
LMNB1	TPM3	NA	NA	NA	NA
LMNB1	PKLR	NA	NA	NA	NA
LMNB1	LMNA	NA	NA	NA	NA
LMNB1	CCT3	NA	NA	NA	NA
LMNB1	HDGF	NA	NA	NA	NA
LMNB1	TAGLN2	NA	NA	NA	NA
LMNB1	COPA	NA	NA	NA	NA
