TF	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
CTNNB1	KRT8	NA	NA	NA	NA
DDX5	FKBP4	NA	NA	NA	NA
DDX5	GAPDH	NA	NA	NA	NA
DDX5	TPI1	NA	NA	NA	NA
DDX5	GPD1	NA	NA	NA	NA
DDX5	KRT8	NA	NA	NA	NA
DDX5	KRT18	NA	NA	NA	NA
DDX5	EIF4B	NA	NA	NA	NA
DDX5	RPS26	NA	NA	NA	NA
DDX5	PA2G4	NA	NA	NA	NA
DDX5	MYL6	NA	NA	NA	NA
DDX5	PTGES3	NA	NA	NA	NA
DDX5	LRP1	NA	NA	NA	NA
DDX5	DCTN2	NA	NA	NA	NA
DDX5	TXNRD1	NA	NA	NA	NA
DDX5	RPL6	NA	NA	NA	NA
DDX5	PEBP1	NA	NA	NA	NA
DDX5	RAN	NA	NA	NA	NA
DDX5	PGAM5	NA	NA	NA	NA
DDX5	ANXA2	NA	NA	NA	NA
DDX5	CLPX	NA	NA	NA	NA
DDX5	ANP32A	NA	NA	NA	NA
DDX5	ETFA	NA	NA	NA	NA
DDX5	RPS15	NA	NA	NA	NA
DDX5	TIMM13	NA	NA	NA	NA
DDX5	SGTA	NA	NA	NA	NA
DDX5	PLIN3	NA	NA	NA	NA
DDX5	RPL36	NA	NA	NA	NA
DDX5	LONP1	NA	NA	NA	NA
DDX5	KHSRP	NA	NA	NA	NA
DDX5	TUBB4A	NA	NA	NA	NA
DDX5	ELAVL1	NA	NA	NA	NA
DDX5	RPS28	NA	NA	NA	NA
DDX5	HNRNPM	NA	NA	NA	NA
DDX5	EIF3G	NA	NA	NA	NA
DDX5	CDC37	NA	NA	NA	NA
DDX5	PRKCSH	NA	NA	NA	NA
DDX5	PRDX2	NA	NA	NA	NA
DDX5	GCDH	NA	NA	NA	NA
DDX5	CALR	NA	NA	NA	NA
DDX5	RPL18A	NA	NA	NA	NA
DDX5	ECH1	NA	NA	NA	NA
DDX5	HNRNPL	NA	NA	NA	NA
