TF	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper	num_regula_targets
MAZ	PLIN3	NA	NA	NA	NA	608
MAZ	TUBB4A	NA	NA	NA	NA	608
MAZ	C3	NA	NA	NA	NA	608
MAZ	CDC37	NA	NA	NA	NA	608
MAZ	PRKCSH	NA	NA	NA	NA	608
MAZ	PRDX2	NA	NA	NA	NA	608
MAZ	CALR	NA	NA	NA	NA	608
MAZ	DNAJB1	NA	NA	NA	NA	608
MAZ	TPM4	NA	NA	NA	NA	608
MAZ	PGLS	NA	NA	NA	NA	608
MAZ	GPI	NA	NA	NA	NA	608
MAZ	ACTN4	NA	NA	NA	NA	608
MAZ	ECH1	NA	NA	NA	NA	608
MAZ	HNRNPL	NA	NA	NA	NA	608
MAZ	RPS16	NA	NA	NA	NA	608
MAZ	TIMM50	NA	NA	NA	NA	608
MAZ	BLVRB	NA	NA	NA	NA	608
MAZ	RPS19	NA	NA	NA	NA	608
MAZ	NAPA	NA	NA	NA	NA	608
MAZ	NUCB1	NA	NA	NA	NA	608
MAZ	FTL	NA	NA	NA	NA	608
MAZ	RPL13A	NA	NA	NA	NA	608
MAZ	RPS11	NA	NA	NA	NA	608
MAZ	ETFB	NA	NA	NA	NA	608
MAZ	RPS9	NA	NA	NA	NA	608
MAZ	SLC27A5	NA	NA	NA	NA	608
MAZ	FKBP4	NA	NA	NA	NA	608
MAZ	GAPDH	NA	NA	NA	NA	608
MAZ	PHB2	NA	NA	NA	NA	608
MAZ	TUBA1B	NA	NA	NA	NA	608
MAZ	METTL7A	NA	NA	NA	NA	608
MAZ	EIF4B	NA	NA	NA	NA	608
MAZ	PA2G4	NA	NA	NA	NA	608
MAZ	ESYT1	NA	NA	NA	NA	608
MAZ	CS	NA	NA	NA	NA	608
MAZ	EEA1	NA	NA	NA	NA	608
MAZ	HSP90B1	NA	NA	NA	NA	608
MAZ	CKAP4	NA	NA	NA	NA	608
MAZ	CORO1C	NA	NA	NA	NA	608
MAZ	ATP2A2	NA	NA	NA	NA	608
MAZ	ERP29	NA	NA	NA	NA	608
MAZ	RPL6	NA	NA	NA	NA	608
MAZ	USP14	NA	NA	NA	NA	608
MAZ	CYB5A	NA	NA	NA	NA	608
MAZ	CNDP2	NA	NA	NA	NA	608
MAZ	GNB1	NA	NA	NA	NA	608
MAZ	LRRC47	NA	NA	NA	NA	608
MAZ	ENO1	NA	NA	NA	NA	608
MAZ	H6PD	NA	NA	NA	NA	608
MAZ	PGD	NA	NA	NA	NA	608
MAZ	AKR7A2	NA	NA	NA	NA	608
MAZ	HNRNPR	NA	NA	NA	NA	608
MAZ	SFN	NA	NA	NA	NA	608
MAZ	SFPQ	NA	NA	NA	NA	608
MAZ	CAP1	NA	NA	NA	NA	608
MAZ	PRDX1	NA	NA	NA	NA	608
MAZ	CPT2	NA	NA	NA	NA	608
MAZ	PGM1	NA	NA	NA	NA	608
MAZ	AK4	NA	NA	NA	NA	608
MAZ	ACADM	NA	NA	NA	NA	608
MAZ	CSDE1	NA	NA	NA	NA	608
MAZ	FMO5	NA	NA	NA	NA	608
MAZ	TPM3	NA	NA	NA	NA	608
MAZ	LMNA	NA	NA	NA	NA	608
MAZ	HDGF	NA	NA	NA	NA	608
MAZ	TAGLN2	NA	NA	NA	NA	608
MAZ	PARP1	NA	NA	NA	NA	608
MAZ	HNRNPU	NA	NA	NA	NA	608
MAZ	PITRM1	NA	NA	NA	NA	608
MAZ	GDI2	NA	NA	NA	NA	608
MAZ	NUDT5	NA	NA	NA	NA	608
MAZ	VIM	NA	NA	NA	NA	608
MAZ	HNRNPF	NA	NA	NA	NA	608
MAZ	PPA1	NA	NA	NA	NA	608
MAZ	PSAP	NA	NA	NA	NA	608
MAZ	VCL	NA	NA	NA	NA	608
MAZ	PPIF	NA	NA	NA	NA	608
MAZ	GLUD1	NA	NA	NA	NA	608
MAZ	ACTR1A	NA	NA	NA	NA	608
MAZ	ACADSB	NA	NA	NA	NA	608
MAZ	ECHS1	NA	NA	NA	NA	608
MAZ	TPM1	NA	NA	NA	NA	608
MAZ	PPIB	NA	NA	NA	NA	608
MAZ	CLPX	NA	NA	NA	NA	608
MAZ	ANP32A	NA	NA	NA	NA	608
MAZ	PKM	NA	NA	NA	NA	608
MAZ	COX5A	NA	NA	NA	NA	608
MAZ	PSMA4	NA	NA	NA	NA	608
MAZ	NSFL1C	NA	NA	NA	NA	608
MAZ	RRBP1	NA	NA	NA	NA	608
MAZ	APMAP	NA	NA	NA	NA	608
MAZ	CHMP4B	NA	NA	NA	NA	608
MAZ	EIF6	NA	NA	NA	NA	608
MAZ	YWHAB	NA	NA	NA	NA	608
MAZ	CTSZ	NA	NA	NA	NA	608
MAZ	PFN1	NA	NA	NA	NA	608
MAZ	ENO3	NA	NA	NA	NA	608
MAZ	ACADVL	NA	NA	NA	NA	608
MAZ	EIF4A1	NA	NA	NA	NA	608
MAZ	RPL26	NA	NA	NA	NA	608
MAZ	ALDH3A2	NA	NA	NA	NA	608
MAZ	VTN	NA	NA	NA	NA	608
MAZ	ALDOC	NA	NA	NA	NA	608
MAZ	RPL23A	NA	NA	NA	NA	608
MAZ	PSMD11	NA	NA	NA	NA	608
MAZ	LASP1	NA	NA	NA	NA	608
MAZ	PSMD3	NA	NA	NA	NA	608
MAZ	ACLY	NA	NA	NA	NA	608
MAZ	RAB5C	NA	NA	NA	NA	608
MAZ	KPNB1	NA	NA	NA	NA	608
MAZ	PHB	NA	NA	NA	NA	608
MAZ	CLTC	NA	NA	NA	NA	608
MAZ	PRKAR1A	NA	NA	NA	NA	608
MAZ	SLC9A3R1	NA	NA	NA	NA	608
MAZ	GALK1	NA	NA	NA	NA	608
MAZ	ACOX1	NA	NA	NA	NA	608
MAZ	P4HB	NA	NA	NA	NA	608
MAZ	ARHGDIA	NA	NA	NA	NA	608
MAZ	RPL15	NA	NA	NA	NA	608
MAZ	ACAA1	NA	NA	NA	NA	608
MAZ	MAP4	NA	NA	NA	NA	608
MAZ	IMPDH2	NA	NA	NA	NA	608
MAZ	GPX1	NA	NA	NA	NA	608
MAZ	ACY1	NA	NA	NA	NA	608
MAZ	SUCLG2	NA	NA	NA	NA	608
MAZ	GBE1	NA	NA	NA	NA	608
MAZ	ATP6V1A	NA	NA	NA	NA	608
MAZ	RPN1	NA	NA	NA	NA	608
MAZ	PSMD2	NA	NA	NA	NA	608
MAZ	TFRC	NA	NA	NA	NA	608
MAZ	SLC25A1	NA	NA	NA	NA	608
MAZ	SNRPD3	NA	NA	NA	NA	608
MAZ	MYH9	NA	NA	NA	NA	608
MAZ	TST	NA	NA	NA	NA	608
MAZ	MPST	NA	NA	NA	NA	608
MAZ	LGALS1	NA	NA	NA	NA	608
MAZ	XRCC6	NA	NA	NA	NA	608
MAZ	TYMP	NA	NA	NA	NA	608
MAZ	SDHA	NA	NA	NA	NA	608
MAZ	HMGCS1	NA	NA	NA	NA	608
MAZ	LMNB1	NA	NA	NA	NA	608
MAZ	HINT1	NA	NA	NA	NA	608
MAZ	VDAC1	NA	NA	NA	NA	608
MAZ	CTNNA1	NA	NA	NA	NA	608
MAZ	MATR3	NA	NA	NA	NA	608
MAZ	RPS14	NA	NA	NA	NA	608
MAZ	NPM1	NA	NA	NA	NA	608
MAZ	ERGIC1	NA	NA	NA	NA	608
MAZ	CLTB	NA	NA	NA	NA	608
MAZ	SQSTM1	NA	NA	NA	NA	608
MAZ	RPS2	NA	NA	NA	NA	608
MAZ	ABAT	NA	NA	NA	NA	608
MAZ	TUFM	NA	NA	NA	NA	608
MAZ	MVP	NA	NA	NA	NA	608
MAZ	ALDOA	NA	NA	NA	NA	608
MAZ	YWHAQ	NA	NA	NA	NA	608
MAZ	DDX1	NA	NA	NA	NA	608
MAZ	RAB10	NA	NA	NA	NA	608
MAZ	MDH1	NA	NA	NA	NA	608
MAZ	UGP2	NA	NA	NA	NA	608
MAZ	ACTR2	NA	NA	NA	NA	608
MAZ	PCBP1	NA	NA	NA	NA	608
MAZ	CAPG	NA	NA	NA	NA	608
