TF	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper	num_regula_targets
MAZ	STOML2	NA	NA	NA	NA	604
MAZ	PTBP1	NA	NA	NA	NA	604
MAZ	PLIN3	NA	NA	NA	NA	604
MAZ	TUBB4A	NA	NA	NA	NA	604
MAZ	C3	NA	NA	NA	NA	604
MAZ	EIF3G	NA	NA	NA	NA	604
MAZ	CDC37	NA	NA	NA	NA	604
MAZ	PRKCSH	NA	NA	NA	NA	604
MAZ	PRDX2	NA	NA	NA	NA	604
MAZ	GCDH	NA	NA	NA	NA	604
MAZ	CALR	NA	NA	NA	NA	604
MAZ	PGLS	NA	NA	NA	NA	604
MAZ	GPI	NA	NA	NA	NA	604
MAZ	ACTN4	NA	NA	NA	NA	604
MAZ	ECH1	NA	NA	NA	NA	604
MAZ	HNRNPL	NA	NA	NA	NA	604
MAZ	BLVRB	NA	NA	NA	NA	604
MAZ	RPS19	NA	NA	NA	NA	604
MAZ	VASP	NA	NA	NA	NA	604
MAZ	NAPA	NA	NA	NA	NA	604
MAZ	FTL	NA	NA	NA	NA	604
MAZ	RPL13A	NA	NA	NA	NA	604
MAZ	RPS11	NA	NA	NA	NA	604
MAZ	MYH14	NA	NA	NA	NA	604
MAZ	ETFB	NA	NA	NA	NA	604
MAZ	RPS9	NA	NA	NA	NA	604
MAZ	SLC27A5	NA	NA	NA	NA	604
MAZ	FKBP4	NA	NA	NA	NA	604
MAZ	GAPDH	NA	NA	NA	NA	604
MAZ	PHB2	NA	NA	NA	NA	604
MAZ	METTL7A	NA	NA	NA	NA	604
MAZ	EIF4B	NA	NA	NA	NA	604
MAZ	PA2G4	NA	NA	NA	NA	604
MAZ	CS	NA	NA	NA	NA	604
MAZ	DCTN2	NA	NA	NA	NA	604
MAZ	HSP90B1	NA	NA	NA	NA	604
MAZ	CKAP4	NA	NA	NA	NA	604
MAZ	CORO1C	NA	NA	NA	NA	604
MAZ	ERP29	NA	NA	NA	NA	604
MAZ	RPL6	NA	NA	NA	NA	604
MAZ	PGAM5	NA	NA	NA	NA	604
MAZ	LMAN1	NA	NA	NA	NA	604
MAZ	CYB5A	NA	NA	NA	NA	604
MAZ	CNDP2	NA	NA	NA	NA	604
MAZ	LRRC47	NA	NA	NA	NA	604
MAZ	ENO1	NA	NA	NA	NA	604
MAZ	PGD	NA	NA	NA	NA	604
MAZ	AKR7A2	NA	NA	NA	NA	604
MAZ	HNRNPR	NA	NA	NA	NA	604
MAZ	SFN	NA	NA	NA	NA	604
MAZ	SFPQ	NA	NA	NA	NA	604
MAZ	CAP1	NA	NA	NA	NA	604
MAZ	PRDX1	NA	NA	NA	NA	604
MAZ	CPT2	NA	NA	NA	NA	604
MAZ	PGM1	NA	NA	NA	NA	604
MAZ	AK4	NA	NA	NA	NA	604
MAZ	ACADM	NA	NA	NA	NA	604
MAZ	CSDE1	NA	NA	NA	NA	604
MAZ	FMO5	NA	NA	NA	NA	604
MAZ	PSMD4	NA	NA	NA	NA	604
MAZ	TPM3	NA	NA	NA	NA	604
MAZ	LMNA	NA	NA	NA	NA	604
MAZ	HDGF	NA	NA	NA	NA	604
MAZ	TAGLN2	NA	NA	NA	NA	604
MAZ	HNRNPU	NA	NA	NA	NA	604
MAZ	PITRM1	NA	NA	NA	NA	604
MAZ	GDI2	NA	NA	NA	NA	604
MAZ	VIM	NA	NA	NA	NA	604
MAZ	PPA1	NA	NA	NA	NA	604
MAZ	PSAP	NA	NA	NA	NA	604
MAZ	VCL	NA	NA	NA	NA	604
MAZ	GLUD1	NA	NA	NA	NA	604
MAZ	PGAM1	NA	NA	NA	NA	604
MAZ	ACADSB	NA	NA	NA	NA	604
MAZ	ECHS1	NA	NA	NA	NA	604
MAZ	TPM1	NA	NA	NA	NA	604
MAZ	PPIB	NA	NA	NA	NA	604
MAZ	CLPX	NA	NA	NA	NA	604
