"UNIPROT	pvalue	qvalue	effectSize	directedEffect"
"A0MZ66	0.9459164	0.9622722	0.10781002	-0.10781002"
"O00151	0.07363522	0.15024987	1.284895	-1.284895"
"O00231	0.008851743	0.034962676	1.4330854	-1.4330854"
"O00264	0.007687015	0.03211262	1.4933777	-1.4933777"
"O00299	0.001509529	0.012110534	1.8204231	1.8204231"
"O00469	0.000423483	0.007118544	1.423975	-1.423975"
"O00515	0.000501732	0.007751145	1.5355434	1.5355434"
"O00748	0.276875	0.38666624	0.7728863	-0.7728863"
"O14745	0.03502856	0.08738574	0.7028265	-0.7028265"
"O14818	0.24897116	0.3609316	3.5719728	-3.5719728"
"O14975	0.6057693	0.70848125	0.37643814	-0.37643814"
"O14979	0.010414516	0.03849553	1.9154253	-1.9154253"
"O15143	0.010889636	0.03983463	2.986061	2.986061"
"O15173	0.3074888	0.41908705	0.79627323	-0.79627323"
"O43390	0.001214943	0.011670603	1.0611563	1.0611563"
"O43399	0.04266523	0.10007191	2.056384	-2.056384"
"O43488	0.3607187	0.47248098	0.67162323	-0.67162323"
"O43707	0.04568241	0.10471358	0.5175009	-0.5175009"
"O43765	0.021755666	0.06401409	2.7842026	-2.7842026"
"O60218	0.6981753	0.77380204	0.122356415	-0.122356415"
"O60506	0.001331847	0.011670603	2.192606	-2.192606"
"O60664	0.035368253	0.08771213	0.9986019	0.9986019"
"O60701	0.9487337	0.96374947	0.010295868	-0.010295868"
"O60716	0.01236857	0.043880444	2.7528677	2.7528677"
"O60749	0.13105945	0.22846402	0.99034977	-0.99034977"
"O60869	0.3425121	0.45453677	0.622942	-0.622942"
"O75083	0.052834615	0.11620324	0.6381464	0.6381464"
"O75347	0.029947039	0.08048877	2.3742647	-2.3742647"
"O75356	0.26215374	0.37314618	0.59248257	0.59248257"
"O75369	0.36588007	0.47571146	1.2754326	1.2754326"
"O75390	0.033377722	0.086781695	1.6525412	-1.6525412"
"O75396	0.000263505	0.005872558	2.6602135	2.6602135"
"O75439	0.071242064	0.1474982	1.1817827	1.1817827"
"O75452	0.001366746	0.011670603	1.4477987	-1.4477987"
"O75521	0.001079686	0.011209684	1.7492142	1.7492142"
"O75534	0.17341897	0.2788256	0.88509464	-0.88509464"
"O75821	0.000951834	0.010385159	1.5645695	-1.5645695"
"O75874	0.15859376	0.26099575	0.46480274	0.46480274"
"O75891	0.34147558	0.4540145	0.87523365	-0.87523365"
"O75947	0.57641	0.67937446	0.106518745	-0.106518745"
"O76031	0.38219273	0.4914902	0.29033947	0.29033947"
"O76070	0.12494163	0.21942493	0.6958647	-0.6958647"
"O94826	0.014043958	0.04744035	0.6645336	0.6645336"
"O94905	0.017383294	0.05478842	1.7450056	1.7450056"
"O94929	0.07592331	0.1527118	1.3105946	-1.3105946"
"O94979	0.04265397	0.10007191	0.7721815	0.7721815"
"O95154	0.4077167	0.5205205	0.5951643	0.5951643"
"O95336	0.33522284	0.44654194	0.6641207	-0.6641207"
"O95340	0.03770512	0.091163725	0.936306	-0.936306"
